source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	assay name	comment[file uri]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Material Type	comment[data file]	factor value[organism part]
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1440	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_A01_P018021_S00_N01_R1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_A01_P018021_S00_N01_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1435	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_B01_P018021_S00_N02_R1.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_B01_P018021_S00_N02_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1430	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_C01_P018021_S00_N03_R1.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_C01_P018021_S00_N03_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1425	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_D01_P018021_S00_N04_R1.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_D01_P018021_S00_N04_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1420	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_E01_P018021_S00_N05_R1.raw	5	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_E01_P018021_S00_N05_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1416	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_F01_P018021_S00_N06_R1.raw	6	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_F01_P018021_S00_N06_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1412	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_G01_P018021_S00_N07_R1.raw	7	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_G01_P018021_S00_N07_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1408	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_H01_P018021_S00_N08_R1.raw	8	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_H01_P018021_S00_N08_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1439	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_A02_P018021_S00_N09_R1.raw	9	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_A02_P018021_S00_N09_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1434	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_B02_P018021_S00_N10_R1.raw	10	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_B02_P018021_S00_N10_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1429	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_C02_P018021_S00_N11_R1.raw	11	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_C02_P018021_S00_N11_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1424	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_D02_P018021_S00_N12_R1.raw	12	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_D02_P018021_S00_N12_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1419	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_E02_P018021_S00_N13_R1.raw	13	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_E02_P018021_S00_N13_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1415	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_F02_P018021_S00_N14_R1.raw	14	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_F02_P018021_S00_N14_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1411	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_G02_P018021_S00_N15_R1.raw	15	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_G02_P018021_S00_N15_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1407	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_H02_P018021_S00_N16_R1.raw	16	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_H02_P018021_S00_N16_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1438	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_A03_P018021_S00_N17_R1.raw	17	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_A03_P018021_S00_N17_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1433	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_B03_P018021_S00_N18_R1.raw	18	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_B03_P018021_S00_N18_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1428	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_C03_P018021_S00_N19_R1.raw	19	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_C03_P018021_S00_N19_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1423	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_D03_P018021_S00_N20_R1.raw	20	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_D03_P018021_S00_N20_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1418	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_E03_P018021_S00_N21_R1.raw	21	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_E03_P018021_S00_N21_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1414	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_F03_P018021_S00_N22_R1.raw	22	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_F03_P018021_S00_N22_R1.raw	pituitary hypophysis
PXD010154-V500	homo sapiens	pituitary hypophysis	not available	not available	not available	normal	V500	not available	not available	not available	run 1410	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01698_G03_P018021_S00_N23_R1.raw	23	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01698_G03_P018021_S00_N23_R1.raw	pituitary hypophysis
